Header,VarLen,Speed,Start angle,MP1 distance,MP1 intensity,MP2 distance,MP2 intensity,MP3 distance,MP3 intensity,MP4 distance,MP4 intensity,MP5 distance,MP5 intensity,MP6 distance,MP6 intensity,MP7 distance,MP7 intensity,MP8 distance,MP8 intensity,MP9 distance,MP9 intensity,MP10 distance,MP10 intensity,MP11 distance,MP11 intensity,MP12 distance,MP12 intensity,End angle,Timestamps,Crc check,,Converted angles
84,44,3593,23359,310,63,315,63,318,63,312,63,303,63,298,63,289,63,284,63,275,63,270,63,268,63,267,63,24342,10786,63,,233.59
84,44,3593,24421,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,25151,10789,63,,244.21
84,44,3593,25151,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,26217,10792,48,,251.51
84,44,3593,26175,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,27166,10794,82,,261.75
84,44,3593,27245,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,27967,10797,44,,272.45
84,44,3593,28163,63,63,63,63,63,63,335,63,342,63,360,63,376,63,319,63,319,63,319,63,3135,63,3194,63,28991,10800,62,,281.63
84,44,3593,29188,3194,63,3194,63,3179,63,3179,63,3179,63,3179,63,3163,63,3163,63,3148,63,3163,63,3163,63,3163,63,30058,10802,63,,291.88
84,44,3593,30015,3163,63,3163,63,3163,63,3163,63,3179,63,3179,63,3194,63,3194,63,3194,63,3179,63,2900,63,2853,63,30979,10805,63,,300.15
84,44,3593,31058,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,635,63,635,63,31807,10807,63,,310.58
84,44,3593,32007,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16236,10810,63,,320.07
84,44,3593,16191,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16179,10813,99,,161.91
84,44,3593,16191,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16191,10815,63,,161.91
84,44,3593,16182,575,63,635,63,620,63,620,63,589,63,63,63,63,63,63,63,63,63,259,63,262,63,271,63,16225,10818,63,,161.82
84,44,3593,16191,275,63,277,63,285,63,289,63,298,63,302,63,304,63,319,63,327,63,338,63,351,63,364,63,616,10821,63,,161.91
84,44,3593,575,371,63,319,63,319,63,319,63,319,63,319,63,319,63,527,63,604,63,589,63,573,63,573,63,1565,10823,59,,5.75
84,44,3593,1644,589,63,589,63,573,63,573,63,319,63,319,63,527,63,558,63,573,63,542,63,542,63,319,63,2367,10826,38,,16.44
84,1,20799,16129,336,63,335,63,3391,77,16170,84,2348,14,3391,79,16129,86,16129,89,16129,98,16129,88,16129,76,16129,77,16129,341,63,,161.29
84,44,3593,4415,63,63,63,63,123,63,63,63,121,63,114,63,121,63,104,63,106,63,117,63,63,63,63,63,5183,10834,41,,44.15
84,44,3593,5433,63,63,63,63,63,63,127,63,107,63,97,63,82,63,75,63,71,63,69,63,68,63,78,63,6207,10837,72,,54.33
84,44,3593,6207,83,63,75,63,71,63,69,63,68,63,78,63,93,63,110,63,119,63,123,63,125,63,126,63,7231,10839,63,,62.07
84,44,3593,7231,127,63,117,63,122,63,115,63,101,63,104,63,106,63,117,63,112,63,120,63,63,63,63,63,8199,10842,44,,72.31
84,44,3593,8278,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,9023,10844,63,,82.78
84,44,3593,9230,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,10047,10847,78,,92.3
84,44,3593,10047,63,63,63,63,63,63,63,63,126,63,117,63,112,63,110,63,109,63,98,63,83,63,75,63,11098,10850,63,,100.47
84,44,3593,11071,71,63,79,63,93,63,90,63,89,63,88,63,88,63,88,63,78,63,73,63,70,63,69,63,12040,10852,75,,110.71
84,44,3593,12122,68,63,68,63,58,63,53,63,40,63,34,63,31,63,29,63,28,63,28,63,28,63,28,63,12863,10855,63,,121.22
84,44,3593,13105,28,63,18,63,23,63,25,63,26,63,17,63,22,63,25,63,26,63,27,63,27,63,27,63,13887,10858,63,,131.05
